Ih,critical_length_d2y,critical_length_20mv,slope
0.0,560,560,0.061186183632625665
0.01,555,560,0.061265802828859225
0.02,555,560,0.06134360348274716
0.03,555,555,0.06141941874233583
0.04,555,555,0.06149315494740014
0.05,555,555,0.06156515412547736
0.06,555,555,0.0616353149738749
0.07,555,555,0.061703455463113815
0.08,555,555,0.06176998148542222
0.09,550,555,0.061834638662690976
0.1,550,555,0.06189777263712139
0.11,550,550,0.061959272790178405
0.12,550,550,0.06201914018256693
0.13,550,550,0.062077223961514216
0.14,550,550,0.06213392267257588
0.15,550,550,0.06218903207463939
0.16,550,550,0.062242556135591175
0.17,550,550,0.06229458372306732
0.18,550,550,0.062345147598770904
0.19,545,550,0.06239436340737199
0.2,545,550,0.062442226702570644
0.21,545,545,0.06248896860077375
0.22,545,545,0.06253465942319798
0.23,545,545,0.0625794432204507
0.24,545,545,0.06262334742026783
0.25,545,545,0.06266646538435225
0.26,545,545,0.06270880956773639
0.27,545,545,0.06275042342710034
0.28,545,545,0.06279120549865795
0.29,545,545,0.06283132993140197
0.3,545,545,0.06287082297105089
0.31,545,545,0.06290966640856209
0.32,540,545,0.06294778745639248
0.33,540,545,0.06298519675528007
0.34,540,545,0.06302192660774662
0.35000000000000003,540,540,0.06305807184339518
0.36,540,540,0.06309341453243598
0.37,540,540,0.0631281132044803
0.38,540,540,0.06316209727178113
0.39,540,540,0.06319549611551535
0.4,540,540,0.06322845220602666
0.41000000000000003,540,540,0.06326075852846341
0.42,540,540,0.063292372106667
0.43,540,540,0.063323426329815
0.44,540,540,0.06335374589522913
0.45,540,540,0.06338329000009846
0.46,540,540,0.06341210519268473
0.47000000000000003,540,540,0.06344017733278873
0.48,540,540,0.06346770024216102
0.49,535,540,0.06349483921859592
0.5,535,540,0.0635213562950676
0.51,535,540,0.06354732410189191
0.52,535,540,0.0635714338997551
0.53,535,540,0.06359483522237154
0.54,535,535,0.0636178101139983
0.55,535,535,0.06363926253926559
0.56,535,535,0.06366002919861213
0.5700000000000001,535,535,0.06368040864811256
0.58,535,535,0.0636997242824993
0.59,535,535,0.06371803318576477
0.6,535,535,0.06373597963573281
0.61,535,535,0.06375343785268638
0.62,535,535,0.06376949216604669
0.63,535,535,0.06378524756269019
0.64,535,535,0.06380070004067184
0.65,535,535,0.06381524331868128
0.66,535,535,0.0638289702321995
0.67,535,535,0.06384223206305105
0.68,535,535,0.06385529428828589
0.6900000000000001,535,535,0.06386740280592418
0.7000000000000001,535,535,0.06387898123849882
0.71,535,535,0.06389040003426977
0.72,535,535,0.06390167111821507
0.73,530,535,0.06391211668318436
0.74,530,535,0.06392195940936227
0.75,530,535,0.06393157217409853
0.76,530,535,0.06394100439457989
0.77,530,535,0.06394988675191343
0.78,530,535,0.06395801474730424
0.79,530,535,0.06396580787976515
0.8,530,535,0.06397336886622679
0.81,530,530,0.06398077913680611
0.8200000000000001,530,530,0.06398722228071467
0.8300000000000001,530,530,0.06399334307900927
0.84,530,530,0.06399921769495548
0.85,530,530,0.06400497896035641
0.86,530,530,0.06401047626248672
0.87,530,530,0.06401498097207488
0.88,530,530,0.06401929337855937
0.89,530,530,0.0640234578759894
0.9,530,530,0.06402748225833492
0.91,530,530,0.06403127826509632
0.92,530,530,0.06403414691702858
0.93,530,530,0.0640369255273459
0.9400000000000001,530,530,0.06403968167565446
0.9500000000000001,530,530,0.06404228008402074
0.96,530,530,0.0640447537104999
0.97,530,530,0.06404649266167296
0.98,530,530,0.06404801918212963
0.99,530,530,0.0640494247510482
1.0,530,530,0.06405060074529927
